english|hindi|type|pronunciation
come_1|A_1|verb|kuru
come_2|aBinaya+kara_1|verb|kuru
come_3|banakara+A_1|verb|kuru
come_4|eka+niSciwa+sWalala+ko+A_1|verb|kuru
come_5|eka+niSciwa+sWAna+gqhaNa+kara_1|verb|kuru
come_6|paXAra_1|verb|kuru
come_7|praSna+meM+prayoga+kara_1|verb|kuru
come_8|upalabXa+ho_1|verb|kuru
come_9|uwara_1|verb|kuru
come_10|warka+para+pahuzca_1|verb|kuru
lustre_1|Aba_1|noun|
lustre_2|ABA_1|noun|
lustre_3|AbawAba_1|noun|
lustre_4|Aloka_1|noun|
lustre_5|camaka_1|noun|
lustre_6|CatA_1|noun|
lustre_7|jyowi_1|noun|
lustre_8|kAMwi_1|noun|
lustre_9|nUra_1|noun|
lustre_10|oja_1|noun|
lustre_11|pAnI_1|noun|
lustre_12|praBA_1|noun|
lustre_13|prakASa_1|noun|
lustre_14|SoBA_1|noun|
lustre_15|uxBAsa_1|noun|
lustre_16|varcasva_1|noun|
lustre_17|viBA_1|noun|
lustre_18|xexIpyamAnawA_1|noun|
lustre_19|xIpwi_1|noun|
lustre_20|xyuwi_1|noun|
now_1|aba_1||
now_2|sarexaswa_1||
now_3|aba_2|adjective|
now_4|aswu_1|adjective|
now_5|aXunA_1|adjective|
now_6|saMprawi_1|adjective|
now_7|sarexaswa_2|adjective|
brilliance_1|Aba_2|noun|
brilliance_2|AbawAba_2|noun|
brilliance_3|BAsa_1|noun|
brilliance_4|cakAcAzXa_1|noun|
brilliance_5|camaka_2|noun|
brilliance_6|cataka_1|noun|
brilliance_7|meXA_1|noun|
brilliance_8|prawiBA_1|noun|
brilliance_9|rOnakZa_1|noun|
brilliance_10|SoBA_2|noun|
brilliance_11|viBA_2|noun|
brilliance_12|weja_1|noun|
brilliance_13|wejasviwA_1|noun|
brilliance_14|xamaka_1|noun|
brilliance_15|xexIpyamAnawA_2|noun|
brilliance_16|xIpwi_2|noun|
brilliance_17|xyuwi_2|noun|
splendour_1|ABA_2|noun|
splendour_2|AbawAba_3|noun|
splendour_3|CatA_2|noun|
splendour_4|cataka_2|noun|
splendour_5|Cavi_1|noun|
splendour_6|jalAla_1|noun|
splendour_7|kAMwi_2|noun|
splendour_8|oja_2|noun|
splendour_9|rOnakZa_2|noun|
splendour_10|SAna_1|noun|
splendour_11|SoBA_3|noun|
splendour_12|TATa_1|noun|
splendour_13|TAta_1|noun|
splendour_14|ujAlA_1|noun|
splendour_15|vikASa_1|noun|
splendour_16|weja_2|noun|
splendour_17|xIpwi_3|noun|
tint_1|ABA_3|noun|iroai
tint_2|halakA+raMga_1|noun|iroai
tint_3|KijAba_1|noun|iroai
water_1|Aba_3|noun|mizu
water_2|aMbu_1|noun|mizu
water_3|jala_1|noun|mizu
water_4|nIra_1|noun|mizu
water_5|paMcawawwva_1|noun|mizu
water_6|pAnI_2|noun|mizu
water_7|paya_1|noun|mizu
water_8|salila_1|noun|mizu
water_9|sIMca_1|noun|mizu
water_10|vana_1|noun|mizu
water_11|vAri_1|noun|mizu
water_12|woya_1|noun|mizu
tinge_1|ABA_4|noun|iroai
swallow_1|abAbIla_1|noun|tsubame
swallow_2|dakAra_1|noun|tsubame
swallow_3|gadZapa_1|noun|tsubame
